agi	family
AT1G17920	Homeobox
At1g17950	At1g17950
At1g18330	Circadian-clock-like
AT1G18335	GNAT
At1g18400	bHLH
At1g18570	MYB
At1g18710	MYB
AT1G18750	MADS-box
AT1G18790	Nin-like
AT1G18860	WRKY
At1g18960	MYB
At1g19000	CCA1-like
At1g19040	NAC
AT1G19050	Orphans
AT1G19180	C2C2-GATA-Family
At1g19210	ERF
At1G19220	General-ARF
AT1G19270	LIM
AT1G19350	General-BES
AT1G19490	bZIP
At1g19510	I-box
AT1G19700	Homeobox
AT1G19790	SRS
AT1G19850	AT1G19850
At1g20600	ABI3-VP1
AT1G20640	AT1G20640
AT1G20700	Homeobox
AT1G20710	Homeobox
AT1G20910	ARID
At1g20980	SBP-box
AT1G21000	PLATZ
AT1G21150	mTERF
AT1G21200	Trihelix
At1g21340	C2C2-Dof
AT1G21450	GRAS
AT1G21700	MYB
AT1G21780	TRAF
At1g21910	At1g21910
AT1G21970	CCAAT-HAP
AT1G22070	bZIP-2
AT1G22130	MADS-box
At1g22190	ERF-3
AT1G22380	bHLH
At1g22490	bHLH
AT1G22590	MADS-box
At1g22640	MYB
At1g22810	ERF
At1g22985	ERF
AT1G23380	AT1G23380
AT1G23420	AT1G23420
AT1G23490	ERF
AT1G23810	AT1G23810
AT1G24040	GNAT
AT1G24190	Orphans
AT1G24200	Orphans
AT1G24210	Orphans
AT1G24220	Orphans
AT1G24230	Orphans
AT1G24250	MYB
AT1G24260	AT1G24260
At1g24590	ERF
AT1G24625	General-C2H2
AT1G24630	General-C2H2
AT1G25250	General-C2H2
AT1G25280	TLP
At1g25330	bHLH
At1g25340	At1g25340
AT1G25440	C2C2-CO-like
At1g25470	ERF
AT1G25550	AT1G25550
At1g25560	RAV
At1g25580	NAC
AT1G26220	GNAT
At1g26260	bHLH
AT1G26310	MADS-box-2
AT1G26590	General-C2H2
AT1G26610	General-C2H2
At1g26680	ABI3-VP1
At1g26780	MYB
At1g26790	C2C2-Dof
At1g26870	NAC
AT1G26960	Homeobox
AT1G27045	Homeobox
AT1G27050	Homeobox
AT1G27220	Orphans
AT1G27240	Orphans
AT1G27250	Orphans
AT1G27260	Orphans
AT1G27270	Orphans
AT1G27280	Orphans
AT1G27320	Orphans
At1g27360	SBP-box
At1g27370	SBP-box
AT1G27660	bHLH
AT1G27730	AT1G27730
AT1G27740	bHLH
AT1G28050	C2C2-CO-like
At1g28160	ERF-3
At1g28300	ABI3-VP1
At1g28310	C2C2-Dof
At1g28360	ERF
At1g28370	ERF-2
AT1G28420	Homeobox
AT1G28450	MADS-box
AT1G28460	MADS-box
At1g28470	NAC
AT1G28520	NAC
At1g29160	C2C2-Dof
AT1G29280	WRKY
AT1G29860	WRKY
AT1G29950	bHLH
AT1G29960	MADS-box
AT1G29962	M-type
AT1G30135	C2C2-GATA-Family
AT1G30210	TCP
AT1G30330	General-ARF
AT1G30490	AT1G30490
AT1G30500	CCAAT-HAP
AT1G30650	WRKY
AT1G30970	General-C2H2
AT1G31040	PLATZ
AT1G31050	bHLH
AT1G31140	MADS-box-2
AT1G31310	Trihelix
AT1G31320	AT1G31320
AT1G31630	MADS-box
AT1G31640	MADS-box
AT1G31760	SWI_SNF
At1g32030	ABI3-VP1
AT1G32070	GNAT
AT1G32130	IWS1
AT1G32150	AT1G32150
AT1G32240	General-G2-GARP
At1g32330	HSF
At1g32510	NAC
AT1G32540	LSD
At1g32640	bHLH
AT1G32700	PLATZ
AT1G32730	SRS
At1g32770	NAC
AT1G32800	PHD
AT1G32810	PHD
At1g32870	NAC
At1g33060	NAC
AT1G33070	M-type
At1g33240	Trihelix
At1g33280	NAC
AT1G33420	PHD
At1g33760	ERF
AT1G34170	General-ARF
At1g34180	NAC
At1g34190	NAC
AT1G34310	General-ARF
AT1G34355	FHA
AT1G34370	AT1G34370
AT1G34390	General-ARF
AT1G34410	General-ARF
AT1G34650	Homeobox
At1g34670	MYB
AT1G34790	General-C2H2
AT1G35240	General-ARF
At1g35460	At1g35460
AT1G35490	bZIP
At1g35515	MYB
AT1G35520	General-ARF
AT1G35540	General-ARF
AT1G35560	TCP
AT1G36000	General-AS2
At1g36060	ERF
AT1G42990	bZIP
AT1G43000	PLATZ
At1g43160	ERF-2
AT1G43640	TLP
AT1G43700	AT1G43700
AT1G43770	PHD
AT1G43860	General-C2H2
AT1G43950	General-ARF
AT1G44810	GEBP-like
At1g44830	ERF
AT1G45249	AT1G45249
At1g46264	HSF
AT1G46408	MADS-box
AT1G46480	Homeobox
At1g46768	ERF
AT1G47270	TLP
At1g47650	C2C2-Dof
AT1G47655	C2C2-Dof
AT1G47760	MADS-box
AT1G47870	AT1G47870
At1g48000	MYB
AT1G48040	DBP
AT1G48150	MADS-box
AT1G48310	SNF2
AT1G48500	C2C2-GATA-Family
At1g49010	I-box
At1g49120	ERF
AT1G49130	C2C2-CO-like
AT1G49190	General-ARR-GARP
AT1G49475	ABI3-VP1
At1g49480	ABI3-VP1
AT1G49520	SWI_SNF
AT1G49560	General-G2-GARP
AT1G49720	bZIP
At1g49770	bHLH
AT1G49900	General-C2H2
At1g49950	TPB-like
At1g50220	ABI3-VP1
AT1G50410	SNF2
AT1G50420	GRAS
AT1G50600	GRAS
AT1G50620	PHD
At1g50640	ERF-2
AT1G50670	General-C2H2
At1g50680	RAV
At1g51070	bHLH
At1g51120	RAV
At1g51140	At1g51140
AT1G51190	ERF
AT1G51220	AT1G51220
At1g51600	At1g51600
At1g51700	C2C2-Dof
AT1G51950	AUX-IAA
At1g51970	ABI3-VP1
AT1G52150	AT1G52150
AT1G52520	FAR1-like
AT1G52830	AUX-IAA
At1g52880	At1g52880
At1g52890	NAC
At1g53160	SBP-box
At1g53170	ERF-2
AT1G53230	TCP
AT1G53320	TLP
At1g53910	At1g53910
AT1G54160	CCAAT-HAP
At1g54330	NAC
AT1G54390	PHD
AT1G54760	M-type
AT1G54830	CCAAT-HAP
AT1G55110	General-C2H2
AT1G55460	General-C2H2
AT1G55580	GRAS
AT1G55600	WRKY
AT1G55650	ARID
AT1G55760	TRAF
AT1G55950	GEBP-like
AT1G55970	TAZ
At1g56010	NAC
At1g56160	MYB
AT1G56170	CCAAT-HAP
AT1G56200	General-C2H2
AT1G56380	mTERF
At1g56650	MYB
at1g57557	MYB
AT1G57560	MYB
AT1G58100	TCP
AT1G58110	bZIP
AT1G58210	Orphans
At1g58220	TRF-like
AT1G59530	bZIP
At1g59640	bHLH
AT1G59750	General-ARF
AT1G59810	MADS-box
AT1G59890	Orphans
AT1G59940	Orphans
AT1G60040	MADS-box
At1g60240	NAC
AT1G60250	Orphans
At1g60280	NAC
At1g60300	NAC
At1g60340	NAC
At1g60350	NAC
At1g60380	NAC
AT1G60700	FHA
AT1G60880	MADS-box
AT1G60920	MADS-box
At1g61110	NAC
AT1G61140	SNF2
AT1G61660	bHLH
AT1G61730	GEBP-like
AT1G61940	TLP
AT1G61960	mTERF
AT1G61970	mTERF
AT1G61980	mTERF
AT1G61990	mTERF
AT1G62010	mTERF
AT1G62085	mTERF
AT1G62110	mTERF
AT1G62120	mTERF
AT1G62150	mTERF
AT1G62300	WRKY
AT1G62360	Homeobox
AT1G62490	mTERF
At1g62700	NAC
AT1G62830	SWI_SNF
At1g62975	bHLH
AT1G62990	TALE
At1g63030	At1g63030
At1g63040	At1g63040
AT1G63100	GRAS
At1g63650	bHLH
AT1G63820	C2C2-CO-like
At1g63910	MYB
AT1G64000	WRKY
AT1G64100	NAC
At1g64105	NAC
AT1G64280	TRAF
At1g64380	ERF
AT1G64530	Nin-like
At1g64620	C2C2-Dof
AT1G64625	bHLH
AT1G64860	Sigma70-like
AT1G65110	General-C2H2
AT1G65120	General-C2H2
AT1G65130	General-C2H2
AT1G65200	General-C2H2
AT1G65300	MADS-box
AT1G65330	MADS-box
AT1G65360	MADS-box
AT1G65620	AT1G65620
At1g65910	NAC
AT1G66140	General-C2H2
AT1G66170	PHD
At1g66230	MYB
AT1G66340	Orphans
AT1G66350	GRAS
At1g66370	MYB-2
At1g66380	MYB
At1g66390	MYB
AT1G66420	GEBP-like
AT1G66470	bHLH
AT1G66500	General-C2H2
AT1G66550	WRKY
AT1G66560	WRKY
AT1G66600	WRKY
AT1G67030	General-C2H2
AT1G67100	General-AS2
AT1G67220	TAZ
AT1G67260	TCP
AT1G67310	General-CAMTA
AT1G67370	SWI_SNF
AT1G67710	MYB
AT1G67910	General-CAMTA
At1g67970	HSF
AT1G68030	PHD
AT1G68120	BBR-BPC
AT1G68130	General-C2H2
AT1G68150	WRKY
AT1G68190	Orphans
AT1G68200	AT1G68200
AT1G68210	General-ARR-GARP
At1g68240	bHLH
At1g68320	At1g68320
AT1G68360	General-C2H2
AT1G68480	General-C2H2
AT1G68510	General-AS2
AT1G68520	C2C2-CO-like
At1g68550	ERF
AT1G68640	bZIP
AT1G68670	AT1G68670
AT1G68800	TCP
At1g68810	bHLH
At1g68840	RAV
AT1G68880	bZIP
At1g68920	bHLH
At1g69010	bHLH
AT1G69120	MADS-box
At1g69170	SBP-box
AT1G69180	AT1G69180
AT1G69310	WRKY
At1g69490	At1g69490
AT1G69540	MADS-box
At1g69560	MYB-2
At1g69570	C2C2-Dof
AT1G69580	General-G2-GARP
AT1G69600	ZF-HD
AT1G69690	TCP
AT1G69780	Homeobox
AT1G69810	WRKY
At1g70000	CCA1-like
AT1G70030	Orphans
AT1G70060	Orphans
AT1G70510	Homeobox
AT1G70700	C2C2-GATA-Family
At1g70910	At1g70910
AT1G70920	Homeobox
AT1G71030	MYB
At1g71130	ERF
At1g71200	bHLH
At1g71450	At1g71450
At1g71520	ERF
AT1G71692	MADS-box-2
At1g71930	NAC
AT1G72010	TCP
AT1G72030	GNAT
AT1G72050	AT1G72050
At1g72210	bHLH
AT1G72350	MADS-box
At1g72360	ERF
AT1G72450	C2C2-GATA-Family
AT1G72570	ERF
At1g72650	TPB-like
At1g72740	TPB-like
AT1G72830	CCAAT-HAP
AT1G72980	General-AS2
AT1G73360	AT1G73360_AT4G00730
At1g73410	MYB
AT1G73730	AT1G73730
At1g73830	bHLH
AT1G73870	C2C2-CO-like
At1g74080	MYB
AT1G74120	mTERF
AT1G74250	General-C2H2
At1g74370	At1g74370
At1g74430	MYB
AT1G74480	AT1G74480
AT1G74500	bHLH
At1g74650	At1g74650
AT1G74660	ZF-HD
At1g74840	CCA1-like
AT1G74890	Orphans
At1g74930	ERF
AT1G74950	C2C2-GATA-Family
AT1G75080	General-BES
AT1G75240	ZF-HD
At1g75250	I-box
AT1G75390	bZIP
AT1G75410	Homeobox
AT1G75430	Homeobox
At1g75490	ERF
AT1G75520	SRS
AT1G75530	FHA
AT1G75540	DBB
AT1G75710	General-C2H2
AT1G76110	ARID
AT1G76320	FAR1-like
AT1G76350	Nin-like
At1g76420	NAC
AT1G76510	ARID
AT1G76580	SBP-box
AT1G76590	PLATZ
AT1G76870	Trihelix
At1g76880	Trihelix
At1g76890	Trihelix
AT1G76900	TLP
AT1G77080	MADS-box
At1g77200	ERF-3
AT1G77250	PHD
At1g77450	NAC
AT1G77570	HSF
At1g77640	ERF-3
AT1G77800	PHD
AT1G77850	General-ARF
AT1G77920	AT1G77920
AT1G77950	MADS-box
AT1G77980	MADS-box
At1g78080	ERF
AT1G78540	STAT
AT1G78600	DBB
At1g78640	ABI3-VP1
AT1G78700	General-BES
AT1G78930	mTERF
AT1G79000	TAZ
At1g79180	MYB
AT1G79220	mTERF
AT1G79350	PHD
AT1G79430	General-G2-GARP
At1g79580	NAC
AT1G79700	ERF
AT1G79840	Homeobox
AT1G79960	OFP
AT1G80010	FAR1-like
AT1G80390	AUX-IAA
At1g80580	ERF
AT1G80590	WRKY
AT1G80730	General-C2H2
AT1G80840	WRKY
AT2G01060	AT2G01060
AT2G01200	unk-aux
AT2G01370	GEBP-like
AT2G01430	Homeobox
AT2G01500	Homeobox
AT2G01570	GRAS
AT2G01650	General-C2H2
AT2G01760	MYB
AT2G01810	PHD
AT2G01818	PLATZ
AT2G01830	Orphans
AT2G01930	BBR-BPC
AT2G01940	General-C2H2
AT2G02060	General-G2-GARP
AT2G02070	General-C2H2
AT2G02080	General-C2H2
AT2G02090	SNF2
At2g02450	At2g02450
AT2G02540	ZF-HD
AT2G02820	AT2G02820
At2g02825	MYB
AT2G03050	mTERF
AT2G03060	MADS-box
AT2G03340	WRKY
At2g03470	MYB
AT2G03500	AT2G03500
AT2G03710	MADS-box
AT2G04038	bZIP
AT2G04740	TRAF
AT2G04845	GNAT
AT2G04880	WRKY
AT2G04890	GRAS
AT2G05330	TRAF
AT2G06020	General-G2-GARP
AT2G06025	GNAT
AT2G06200	GRF
AT2G12646	PLATZ
AT2G12900	bZIP
AT2G12940	bZIP
AT2G13130	bZIP
AT2G13150	bZIP
AT2G13370	SNF2
AT2G13570	CCAAT-HAP
At2g13960	MYB
AT2G14210	MADS-box-2
AT2G14760	bHLH
AT2G14880	SWI_SNF
AT2G15660	PLATZ
AT2G15740	AT2G15740
At2g16210	ABI3-VP1-2
AT2G16390	SNF2
AT2G16400	Homeobox
AT2G16480	SWI_SNF
At2g16720	MYB
AT2G16770	bZIP
At2g16910	bHLH
At2g17040	NAC
AT2G17150	Nin-like
AT2G17180	General-C2H2
AT2G17410	ARID
AT2G17770	bZIP
AT2G17820	Orphans
AT2G17870	General-CSD
AT2G17900	AUX-IAA
AT2G17950	AT2G17950
At2g18060	NAC
AT2G18090	PHD
AT2G18120	SRS
AT2G18160	bZIP
AT2G18280	TLP
At2g18300	At2g18300
AT2G18328	MYB
AT2G18350	ZF-HD
At2g18380	C2C2-GATA-Family
AT2G18490	General-C2H2
AT2G18500	OFP
AT2G18550	Homeobox
AT2G18760	SNF2
At2g18810	ABI3-VP1
AT2G19260	PHD
AT2G19380	General-C2H2
AT2G19510	General-AS2
AT2G19820	General-AS2
AT2G20110	General-CPP
At2g20180	bHLH
At2g20350	ERF
AT2G20400	General-G2-GARP
AT2G20570	General-G2-GARP
AT2G20613	GEBP-like
AT2G20825	ULT
At2g20880	ERF
AT2G21060	General-CSD
AT2G21230	bZIP
AT2G21235	bZIP
AT2G21240	BBR-BPC
AT2G21320	DBB
AT2G21400	SRS
AT2G21450	SNF2
AT2G21530	FHA
At2g21650	I-box
AT2G21710	mTERF
AT2G21900	WRKY
At2g21920	ABI3-VP1
At2g22200	ERF
AT2G22300	General-CAMTA
AT2G22430	Homeobox
AT2G22540	MADS-box
AT2G22630	MADS-box-2
AT2G22670	unk-aux
At2g22750	bHLH
At2g22760	bHLH
At2g22770	bHLH
AT2G22800	Homeobox
AT2G22840	GRF
AT2G22850	bZIP
AT2G22900	General-CAMTA
AT2G22910	GNAT
AT2G23060	GNAT
At2g23290	At2g23290
AT2G23320	WRKY
At2g23340	ERF-3
AT2G23660	General-AS2
AT2G23740	General-C2H2
AT2G23760	Homeobox
At2g24260	bHLH
AT2G24340	bZIP
At2g24430	NAC
AT2G24500	General-C2H2
AT2G24570	WRKY
AT2G24645	B3
At2g24650	ABI3-VP1
At2g24670	ABI3-VP1
At2g24680	ABI3-VP1
AT2G24681	B3
At2g24690	ABI3-VP1
AT2G24696	B3
At2g24700	ABI3-VP1
AT2G24765	AT2G24765
AT2G24790	C2C2-CO-like
AT2G24840	MADS-box
AT2G25000	AT2G25000
AT2G25170	PHD
AT2G25180	General-ARR-GARP
At2g25230	MYB
AT2G25620	DBP
AT2G25650	GEBP-like
At2g25820	ERF
At2g26150	HSF
AT2G26320	MADS-box
AT2G26580	YABBY
AT2G26940	General-C2H2
At2g26950	MYB
At2g26960	At2g26960
AT2G27050	General-EIL
AT2G27070	General-ARR-GARP
AT2G27100	General-C2H2
AT2G27110	FAR1-like
AT2G27220	Homeobox
AT2G27230	bHLH
At2g27300	At2g27300
At2g27410	ABI3-VP1
AT2G27470	CCAAT-HAP
AT2G27630	General-C2H2
AT2G27930	PLATZ
AT2G27990	Homeobox
At2g28160	bHLH
AT2G28200	General-C2H2
AT2G28290	SNF2
At2g28340	C2C2-GATA-Family
AT2G28350	General-ARF
AT2G28500	General-AS2
At2g28510	C2C2-Dof
At2g28520	NAC
AT2G28550	AT2G28550
AT2G28610	Homeobox
AT2G28700	MADS-box
AT2G28710	General-C2H2
At2g28810	C2C2-Dof
AT2G28920	Circadian-clock-like
AT2G29060	GRAS
AT2G29065	GRAS
AT2G29660	General-C2H2
AT2G30090	GNAT
AT2G30130	General-AS2
AT2G30250	WRKY
AT2G30340	AT2G30340
AT2G30400	OFP
At2g30420	MYB
AT2G30424	MYB
AT2G30432	MYB
At2g30470	ABI3-VP1
AT2G30590	WRKY
AT2G31070	TCP
At2g31180	MYB
At2g31210	bHLH
At2g31215	bHLH
At2g31220	At2g31220
At2g31230	ERF-2
AT2G31280	bHLH
AT2G31310	General-AS2
AT2G31370	bZIP
AT2G31380	DBB
At2g31420	ABI3-VP1
At2g31460	At2g31460
AT2G31650	PHD
At2g31720	ABI3-VP1
AT2G31730	bHLH
AT2G32020	GNAT
AT2G32030	GNAT
AT2G32100	OFP
AT2G32250	FAR1-like
AT2G32310	C2C2-CO-like
AT2G32370	Homeobox
At2g32460	MYB-2
AT2G32550	Rcd1-like
AT2G32700	LUG
At2g32905	ABI3-VP1
AT2G33310	unk-aux
AT2G33350	C2C2-CO-like
At2g33480	NAC
AT2G33500	C2C2-CO-like
AT2G33550	Trihelix
AT2G33610	MYB
At2g33710	ERF
At2g33720	ABI3-VP1
At2g33810	SBP-box
AT2G33860	General-ARF
AT2G33880	Homeobox
At2g34140	C2C2-Dof
AT2G34240	General-C2H2
AT2G34440	MADS-box
AT2G34600	C2C2-GATA-Family
AT2G34620	mTERF
AT2G34710	Homeobox
AT2G34720	CCAAT-HAP
AT2G34820	bHLH
AT2G34830	WRKY
At2g35310	ABI3-VP1-2
AT2G35530	bZIP
AT2G35550	BBR-BPC
AT2G35605	SWI_SNF
AT2G35640	Trihelix
AT2G35670	General-C2H2
At2g35700	ERF-3
AT2G35940	Homeobox
AT2G36000	mTERF
AT2G36010	E2F-DP
AT2G36026	OFP
AT2G36050	OFP
At2g36080	RAV
AT2G36270	bZIP
AT2G36340	GEBP-like
AT2G36400	GRF
At2g36450	ERF
AT2G36480	General-C2H2
AT2G36610	Homeobox
AT2G36720	PHD
At2g36890	MYB
AT2G36930	General-C2H2
AT2G36960	MYB
AT2G36990	Sigma70-like
AT2G37000	TCP
AT2G37060	CCAAT-HAP
AT2G37120	S1Fa-like
AT2G37260	WRKY
AT2G37430	General-C2H2
AT2G37520	PHD
At2g37590	C2C2-Dof
At2g37630	MYB
AT2G37650	GRAS
AT2G37740	General-C2H2
At2g38090	I-box
AT2G38130	GNAT
At2g38250	Trihelix
AT2G38300	General-G2-GARP
At2g38340	ERF
AT2G38470	WRKY
AT2G38880	AT2G38880
AT2G39000	GNAT
AT2G39020	GNAT
AT2G39030	GNAT
AT2G39250	ERF
AT2G39830	LIM
At2g39880	MYB
AT2G39900	LIM
At2g40200	bHLH
AT2G40210	MADS-box
At2g40220	At2g40220
AT2G40260	General-G2-GARP
At2g40340	ERF
At2g40350	ERF
AT2G40440	TRAF
AT2G40450	TRAF
AT2G40470	General-AS2
AT2G40620	bZIP
AT2G40670	Orphans
AT2G40740	WRKY
AT2G40750	WRKY
AT2G40770	PHD
AT2G40950	bZIP
AT2G40970	General-G2-GARP
AT2G41070	bZIP
At2g41130	bHLH
At2g41240	bHLH
AT2G41310	Orphans
AT2G41370	TRAF
AT2G41450	GNAT
At2g41690	HSF
AT2G41710	ERF
AT2G41835	AT2G41835
AT2G41940	General-C2H2
AT2G42040	Orphans
AT2G42150	MYB
At2g42200	SBP-box
At2g42280	At2g42280
At2g42300	bHLH
AT2G42380	bZIP
At2g42400	NAC
AT2G42410	General-C2H2
AT2G42430	AT2G42430
AT2G42440	General-AS2
AT2G42660	General-G2-GARP
AT2G42680	MBF1
AT2G42830	MADS-box-2
At2g43000	At2g43000
At2g43010	bHLH
AT2G43060	bHLH
At2g43140	bHLH
AT2G43280	FAR1-like
AT2G43500	Nin-like
AT2G44020	mTERF
AT2G44430	MYB
AT2G44730	Trihelix
AT2G44745	WRKY
At2g44840	ERF-2
AT2G44910	Homeobox
At2g44940	ERF-3
AT2G44980	SNF2
At2g45050	C2C2-GATA-Family
AT2G45120	General-C2H2
AT2G45160	GRAS
AT2G45190	YABBY
AT2G45410	General-AS2
AT2G45420	AT2G45420
AT2G45460	FHA
AT2G45480	GRF
AT2G45650	MADS-box-2
AT2G45660	AT2G45660
AT2G45680	TCP
AT2G45800	LIM
AT2G45880	General-BES
AT2G46020	SNF2
AT2G46040	ARID
AT2G46130	WRKY
AT2G46260	TRAF
AT2G46270	bZIP
At2g46310	ERF
AT2G46400	WRKY
At2g46410	MYB
AT2G46495	C3H
At2g46510	bHLH
AT2G46530	General-ARF
At2g46590	C2C2-Dof
AT2G46670	C2C2-CO-like
AT2G46680	Homeobox
At2g46730	ABI3-VP1
At2g46770	NAC
AT2G46790	C2C2-CO-like
At2g46810	bHLH
At2g46830	Circadian-clock-like
At2g46870	RAV
At2g46970	bHLH
AT2G46990	AUX-IAA
At2g47070	SBP-box
AT2G47090	General-C2H2
At2g47190	MYB
AT2G47210	MYB
AT2G47260	WRKY
AT2G47270	bHLH
AT2G47430	Orphans
At2g47460	MYB
At2g47520	ERF
AT2G47620	MYB
AT2G47810	CCAAT-HAP
AT2G47890	C2C2-CO-like
AT2G47900	TLP
AT2G48100	AT2G48100
AT3G01030	General-C2H2
AT3G01080	WRKY
At3g01140	MYB
AT3G01220	Homeobox
AT3G01320	Orphans
AT3G01330	E2F-DP
AT3G01460	PHD
AT3G01470	Homeobox
At3g01530	At3g01530
At3g01600	NAC
AT3G01890	SWI_SNF
AT3G01970	WRKY
AT3G02150	TCP
AT3G02310	MADS-box-2
AT3G02380	C2C2-CO-like
AT3G02400	FHA
AT3G02550	General-AS2
AT3G02680	FHA
AT3G02790	General-C2H2
AT3G02860	General-C2H2
AT3G02890	PHD
At3g02940	MYB
AT3G02980	GNAT
At3g02990	HSF
At3g03200	NAC
AT3G03260	Homeobox
AT3G03450	GRAS
AT3G03590	SWI_SNF
AT3G03660	AT3G03660
AT3G03760	General-AS2
AT3G04030	AT3G04030
At3g04060	NAC
At3g04070	At3g04070
AT3G04100	MADS-box
AT3G04280	Orphans
AT3G04410	NAC
At3g04420	NAC
At3g04430	NAC
AT3G04450	General-G2-GARP
AT3G04580	Orphans
AT3G04670	WRKY
AT3G04730	AUX-IAA
AT3G04850	General-CPP
AT3G04930	GEBP-like
AT3G05380	MYB
AT3G05670	PHD
AT3G05690	CCAAT-HAP
AT3G05760	General-C2H2
AT3G05800	bHLH
AT3G05860	MADS-box
AT3G06010	SNF2
At3g06120	bHLH
At3g06160	ABI3-VP1
At3g06220	ABI3-VP1
AT3G06250	FAR1-like
AT3G06380	TLP
AT3G06400	SNF2
At3g06490	MYB
AT3G06590	bHLH
At3g06740	C2C2-GATA-Family
AT3G07220	NAC
AT3G07260	FHA
At3g07340	bHLH
AT3G07500	FAR1-like
AT3G07650	C2C2-CO-like
AT3G07740	MYB
AT3G08020	PHD
At3g08500	MYB
At3g09230	MYB-2
AT3G09290	General-C2H2
At3g09370	R1R2R3
At3g09600	At3g09600
AT3G09735	PLATZ
At3g10000	Trihelix
AT3G10030	Trihelix
AT3G10040	Trihelix
At3g10113	Circadian-clock-like
AT3G10390	SWI_SNF
AT3G10470	General-C2H2
At3g10480	NAC
At3g10490	NAC
At3g10500	NAC
At3g10580	At3g10580
At3g10590	CCA1-like
AT3G10595	MYB
AT3G10760	General-G2-GARP
AT3G10800	bZIP
At3g11020	ERF
AT3G11090	General-AS2
AT3G11100	Trihelix
AT3G11260	Homeobox
At3g11280	I-box
At3g11440	At3g11440
AT3G11450	MYB
At3g11580	RAV
AT3G12130	MADS-box
AT3G12250	bZIP-2
AT3G12270	General-C2H2
AT3G12280	RB
AT3G12480	CCAAT-HAP
At3g12560	TPB-like
At3g12720	MYB
AT3G12730	General-G2-GARP
AT3G12810	SNF2
At3g12820	MYB
AT3G12890	C2C2-CO-like
AT3G12910	AT3G12910
AT3G12977	NAC
AT3G12980	TAZ
AT3G13040	AT3G13040
AT3G13350	ARID
